                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87913,                0.55104,                 1.1153,                0.99896,                0.97561,                0.99364,                0.67214,                 1.2119,                0.51535,                 1.5064,              0.0006932,              0.0006932,              0.0006932
                     35,                0.86722,                 0.5314,                 1.1003,                      1,                0.99712,                  0.995,                0.72406,                 1.0247,                0.43665,                 1.3703,              0.0006536,              0.0006536,              0.0006536
                     36,                0.83533,                0.51545,                 1.0987,                0.97572,                      1,                0.99452,                 0.6749,                 1.1949,                0.45741,                 1.5202,               0.000614,               0.000614,               0.000614
                     37,                0.86775,                0.52509,                 1.1028,                0.99796,                0.97561,                0.99407,                0.68208,                 1.2116,                0.48971,                 1.5006,              0.0005744,              0.0005744,              0.0005744
                     38,                0.90657,                0.51853,                 1.1277,                0.97557,                0.97408,                0.97726,                0.70332,                 1.0575,                0.43124,                 1.3677,              0.0005348,              0.0005348,              0.0005348
                     39,                0.78472,                0.47433,                 1.0585,                      1,                0.99843,                  0.995,                0.68621,                  1.131,                0.44539,                 1.4367,              0.0004952,              0.0004952,              0.0004952
                     40,                0.78064,                0.60011,                 1.1351,                0.97424,                0.95122,                0.98005,                0.70293,                 1.1254,                0.43608,                 1.4234,              0.0004556,              0.0004556,              0.0004556
                     41,                0.75221,                0.50604,                 1.0964,                0.97384,                0.95122,                0.97399,                 0.6939,                 1.1441,                0.43896,                 1.3989,               0.000416,               0.000416,               0.000416
                     42,                0.75522,                0.49995,                 1.0985,                0.99822,                0.97561,                0.98274,                0.68763,                 1.0779,                0.46827,                 1.4179,              0.0003764,              0.0003764,              0.0003764
                     43,                0.76443,                0.48455,                  1.094,                0.97156,                0.95122,                0.99152,                0.64153,                 1.3375,                0.59402,                 1.6122,              0.0003368,              0.0003368,              0.0003368
                     44,                0.75326,                0.46832,                 1.1107,                0.97539,                0.96697,                0.99285,                0.68705,                 1.1794,                0.68437,                 1.4909,              0.0002972,              0.0002972,              0.0002972
                     45,                0.72294,                0.44553,                 1.0927,                0.99995,                0.97561,                0.99452,                0.70249,                 1.0276,                0.46901,                 1.3611,              0.0002576,              0.0002576,              0.0002576
                     46,                0.69519,                0.41897,                 1.0669,                0.97615,                0.99842,                0.99333,                0.71671,                 1.0096,                0.44323,                  1.338,               0.000218,               0.000218,               0.000218
                     47,                0.69639,                0.42547,                 1.0731,                0.97615,                0.99841,                0.99452,                0.72293,                 1.0411,                0.41481,                 1.3502,              0.0001784,              0.0001784,              0.0001784
                     48,                0.71431,                0.41104,                 1.0424,                0.97614,                0.99784,                0.99452,                0.72566,                 1.0595,                0.40312,                 1.3426,              0.0001388,              0.0001388,              0.0001388
                     49,                0.69494,                 0.3972,                 1.0527,                0.97614,                0.99788,                0.99452,                0.72299,                  1.072,                0.39742,                 1.3547,               9.92e-05,               9.92e-05,               9.92e-05
